,Town,Region,Country,Town Code,Website,Phone,Postal Code,Mayor,Population,Area,Altitude,LAT,LONG,URL,Inhabitants/Km2
532,Santa Sofía,Boyacá,Colombia,15696,http://www.santasofia-boyaca.gov.co,+5787359010,154247,Claudio Alfonso Coy Fino,3012,82.0,2353,5.717,-73.6,https://www.municipio.com.co/municipio-santa-sofia.html,36.7
533,El Espino,Boyacá,Colombia,15248,http://www.elespino-boyaca.gov.co,+5787884302,151247,Jorge Elias Carreño,3914,70.0,2128,6.48359,-72.4969,https://www.municipio.com.co/municipio-el-espino.html,55.9
534,La Uvita,Boyacá,Colombia,15403,http://www.lauvita-boyaca.gov.co,+5787895294,150867,Jesús Hildebrando Hernández Oviedo,3390,177.0,2636,6.317,-72.55,https://www.municipio.com.co/municipio-la-uvita.html,19.2
535,Campohermoso,Boyacá,Colombia,15135,http://campohermoso-boyaca.gov.co,+5787500464,152640,Pedro Miguel Lopez Vela,3949,302.0,1806,4.883,-73.367,https://www.municipio.com.co/municipio-campohermoso.html,13.1
536,Floresta,Boyacá,Colombia,15276,http://www.floresta-boyaca.gov.co,+5787863091,150601,Luis Mario Vargas Bernal,3833,92.0,2516,5.867,-72.917,https://www.municipio.com.co/municipio-floresta.html,41.7
537,Caldas,Boyacá,Colombia,15131,http://www.caldas-boyaca.gov.co,+5787265831,154660,Jose Rubiel Paez ,3893,88.0,2706,5.55,-73.867,https://www.municipio.com.co/municipio-caldas-boy.html,44.2
538,San Agustín,Huila,Colombia,41668,http://www.sanagustin-huila.gov.co,+5788373062,418060,Carlos Andrés Facundo Ortega,29699,1574.0,1695,1.883,-76.267,https://www.municipio.com.co/municipio-san-agustin.html,18.9
539,Tipacoque,Boyacá,Colombia,15810,http://www.tipacoque-boyaca.gov.co/,+573208567121,151020,Nelson Humberto Melgarejo Angarita,3730,73.0,1760,6.417,-72.683,https://www.municipio.com.co/municipio-tipacoque.html,51.1
540,Sativasur,Boyacá,Colombia,15723,http://www.sativasur-boyaca.gov.co,+5787880285,150801,Jose Abel Nova Gurrero,1294,62.0,2882,6.083,-72.733,https://www.municipio.com.co/municipio-sativasur.html,20.9
541,Campoalegre,Huila,Colombia,41132,http://www.campoalegre-huila.gov.co,+5788380088,413020,Aldemar Gutierrez Muñoz,32101,485.0,496,2.683,-75.333,https://www.municipio.com.co/municipio-campoalegre.html,66.2
542,La Victoria,Boyacá,Colombia,15401,http://www.lavictoria-boyaca.gov.co,+5787265166,155007,Deciderio Bohórquez Bustos,1645,111.0,1359,5.517,-74.233,https://www.municipio.com.co/municipio-la-victoria-boy.html,14.8
543,Panqueba,Boyacá,Colombia,15522,http://www.panqueba-boyaca.gov.co,+5787880271,151260,Jorge Mario Ibáñez Arango,1781,38.0,2573,6.433,-72.467,https://www.municipio.com.co/municipio-panqueba.html,46.9
544,Pitalito,Huila,Colombia,41551,https://www.alcaldiapitalito.gov.co/,+5788368707,417048,Edgar Muñoz Torres,102937,653.0,1259,1.85431,-76.0516,https://www.municipio.com.co/municipio-pitalito.html,157.6
545,Covarachía,Boyacá,Colombia,15218,http://covarachia-boyaca.gov.co,+5787880337,151040,Yolanda Salazar Sierra,3205,104.0,2492,6.5,-72.733,https://www.municipio.com.co/municipio-covarachia.html,30.8
546,Garzón,Huila,Colombia,41298,http://www.garzon-huila.gov.co,+5788332000,414028,Edgar Bonilla Ramirez,70144,692.0,828,2.19604,-75.6273,https://www.municipio.com.co/municipio-garzon.html,101.4
547,Neiva,Huila,Colombia,41001,http://www.alcaldianeiva.gov.co,+5788722165,410018,Gorky Muñoz Calderon,315332,1468.0,442,2.92504,-75.2897,https://www.municipio.com.co/municipio-neiva.html,214.8
548,Tununguá,Boyacá,Colombia,15832,http://www.tunungua-boyaca.gov.co,+5787265931,154680,Jose Del Carme Barrera Pastran,1610,54.0,1274,5.733,-73.933,https://www.municipio.com.co/municipio-tunungua.html,29.8
549,Somondoco,Boyacá,Colombia,15761,http://www.somondoco-boyaca.gov.co,+5787531159,153030,German Ricardo Robayo Heredia,3246,68.0,1706,4.98458,-73.4318,https://www.municipio.com.co/municipio-somondoco.html,47.7
550,La Plata,Huila,Colombia,41396,http://www.laplata-huila.gov.co,+5788370287,415068,Camilo Opina Ramirez,52549,854.0,1018,2.3878,-75.8929,https://www.municipio.com.co/municipio-la-plata.html,61.5
551,La Capilla,Boyacá,Colombia,15380,http://www.lacapilla-boyaca.gov.co,+5787539130,153220,Jorge Enrique Mojica Gómez,3052,54.0,1838,5.1,-73.45,https://www.municipio.com.co/municipio-la-capilla.html,56.5
552,Sáchica,Boyacá,Colombia,15638,http://sachica-boyaca.gov.co,+5787342021,153887,Hector Antonio Amado,3783,61.0,2152,5.583,-73.55,https://www.municipio.com.co/municipio-sachica.html,62.0
553,Susacón,Boyacá,Colombia,15774,http://susacon-boyaca.gov.co,+5787880295,150880,Jairo Alonso Rincón Quintana,3550,193.0,2463,6.233,-72.683,https://www.municipio.com.co/municipio-susacon.html,18.4
554,Páez,Boyacá,Colombia,15514,http://www.paez-boyaca.gov.co,+5787594001,152620,Dumar Fabian Lozano Vargas,3242,326.0,1321,5.10086,-73.051,https://www.municipio.com.co/municipio-paez-boy.html,9.9
555,Pisba,Boyacá,Colombia,15550,http://pisba-boyaca.gov.co,+5787359185,151807,Neyla Ruiz Correa,1481,298.0,1500,5.717,-72.483,https://www.municipio.com.co/municipio-pisba.html,5.0
556,Gachantivá,Boyacá,Colombia,15293,http://www.gachantiva-boyaca.gov.co,+5787427439,154227,Jorge Edicson Saavedra Velasco,2985,88.0,2429,5.767,-73.55,https://www.municipio.com.co/municipio-gachantiva.html,33.9
557,Viracachá,Boyacá,Colombia,15879,http://www.viracacha-boyaca.gov.co,+5787377006,153457,Alfredo Caro Puin ,3380,64.0,2540,5.433,-73.3,https://www.municipio.com.co/municipio-viracacha.html,52.8
558,Busbanzá,Boyacá,Colombia,15114,http://busbanza-boyaca.gov.co,+5787707111,152087,Gerardo Rincon Camacho,875,25.0,2472,5.83103,-72.8841,https://www.municipio.com.co/municipio-busbanza.html,35.0
559,Gigante,Huila,Colombia,41306,http://www.gigante-huila.gov.co,+5788325038,414007,Josue Manrique Murcia ,28174,561.0,794,2.383,-75.55,https://www.municipio.com.co/municipio-gigante.html,50.2
560,Palermo,Huila,Colombia,41524,http://www.palermo-huila.gov.co,+5788784011,412007,Victor Ernesto Polania Vanegas,27282,917.0,646,2.883,-75.433,https://www.municipio.com.co/municipio-palermo.html,29.8
561,Acevedo,Huila,Colombia,41006,http://www.acevedo-huila.gov.co,+5788317006,417077,Lucy Paiva Sotto,26597,700.0,1142,1.80283,-75.8902,https://www.municipio.com.co/municipio-acevedo.html,38.0
562,Isnos,Huila,Colombia,41359,http://www.isnos-huila.gov.co,+5788328307,418048,Rigoberto Rosero Gomez,23756,697.0,1774,1.93048,-76.2164,https://www.municipio.com.co/municipio-isnos.html,34.1
563,Algeciras,Huila,Colombia,41020,http://www.algeciras-huila.gov.co,+5788382012,413048,Javier Rivera Cortes,23054,672.0,955,2.533,-75.317,https://www.municipio.com.co/municipio-algeciras.html,34.3
564,Timaná,Huila,Colombia,41807,http://www.timana-huila.gov.co,+5788374130,417010,Marco Adrian Artunduaga Gomez,20919,194.0,1015,1.97423,-75.932,https://www.municipio.com.co/municipio-timana.html,107.8
565,Guadalupe,Huila,Colombia,41319,http://guadalupe-huila.gov.co/presentacion.shtml,+5788321035,416040,Charles Barrera Zuñiga,16067,242.0,880,2.02587,-75.7545,https://www.municipio.com.co/municipio-guadalupe-hui.html,66.4
566,Suaza,Huila,Colombia,41770,http://www.suaza-huila.gov.co,+5788324036,416089,Jose Ricardo Cabrera Artunduaga,14617,383.0,934,1.97406,-75.7947,https://www.municipio.com.co/municipio-suaza.html,38.2
567,Baraya,Huila,Colombia,41078,http://www.baraya-huila.gov.co,+5788788506,411067,Elizein Cano Yara,4354,737.0,622,3.15,-75.05,https://www.municipio.com.co/municipio-baraya.html,5.9
568,Aipe,Huila,Colombia,41016,http://www.aipe-huila.gov.co,+5788389089,411008,Luis Ángel Ramírez Vargas,19928,862.0,390,3.2221,-75.2373,https://www.municipio.com.co/municipio-aipe.html,23.1
569,Rivera,Huila,Colombia,41615,http://www.rivera-huila.gov.co,+5788387140,413007,Jose Luis Bahamon Montealegre,16654,404.0,686,2.783,-75.267,https://www.municipio.com.co/municipio-rivera.html,41.2
570,Tello,Huila,Colombia,41799,http://www.tello-huila.gov.co,+573138658263,411040,José Manuel Córdoba Trujillo,13447,589.0,563,3.06647,-75.139,https://www.municipio.com.co/municipio-tello.html,22.8
571,Tarqui,Huila,Colombia,41791,http://www.tarqui-huila.gov.co,+5788329177,416007,Carlos Antonio Tole Calderon,15921,347.0,826,2.11302,-75.8249,https://www.municipio.com.co/municipio-tarqui.html,45.9
572,Altamira,Huila,Colombia,41026,http://www.altamira-huila.gov.co,+5788302911,416020,Yecid Rodriguez Tovar,3609,201.0,996,2.067,-75.783,https://www.municipio.com.co/municipio-altamira.html,18.0
573,Puerto Gaitán,Meta,Colombia,50568,http://puertogaitan-meta.gov.co,+5786460050,502059,Jorge Edelio Plazas Hernandez,15475,17536.0,149,4.317,-72.083,https://www.municipio.com.co/municipio-puerto-gaitan.html,0.9
574,Granada,Meta,Colombia,50313,http://www.granada-meta.gov.co,+5786580158,504008,Freddy Hernan Perez,50837,381.0,332,3.54452,-73.7065,https://www.municipio.com.co/municipio-granada-met.html,133.4
575,Acacías,Meta,Colombia,50006,http://acacias-meta.gov.co,+5786561363,507009,Arcenio Vargas Alvarez,54753,1149.0,473,3.983,-73.75,https://www.municipio.com.co/municipio-acacias.html,47.7
576,Elías,Huila,Colombia,41244,http://www.elias-huila.gov.co,+5788305610,417001,Juan Diego Trujillo Artunduaga ,3342,82.0,1146,2.02415,-75.9478,https://www.municipio.com.co/municipio-elias.html,40.8
577,Villavicencio,Meta,Colombia,50001,http://www.alcaldiadevillavicencio.gov.co,+5786715802,500009,Juan Felipe Harman Ortiz,384131,1328.0,449,4.15,-73.633,https://www.municipio.com.co/municipio-villavicencio.html,289.3
578,Puerto López,Meta,Colombia,50573,http://puertolopez-meta.gov.co,+5786450412,502007,Leonardo Cruz García,28922,6239.0,178,4.083,-72.95,https://www.municipio.com.co/municipio-puerto-lopez.html,4.6
579,Vista Hermosa,Meta,Colombia,50711000,http://vistahermosa-meta.gov.co,+573147569909,504061,Jhon Jairo Ibarra Caicedo,25678,4749.0,301,3.1244,-73.7517,https://www.municipio.com.co/municipio-vista-hermosa.html,5.4
580,Cumaral,Meta,Colombia,50226,http://cumaral-meta.gov.co,+5786871424,501027,Luis Henry Navarrete,16634,580.0,396,4.267,-73.483,https://www.municipio.com.co/municipio-cumaral.html,28.7
581,San Martín,Meta,Colombia,50689,http://www.sanmartin-meta.gov.co,+5786484800,507027,Dario Rey,21511,6454.0,419,3.69605,-73.6957,https://www.municipio.com.co/municipio-san-martin-met.html,3.3
582,Fuente de Oro,Meta,Colombia,50287,http://www.fuentedeoro-meta.gov.co,+573125853983,504021,Diana Patricia Mancera Cruz,12587,576.0,359,3.467,-73.617,https://www.municipio.com.co/municipio-fuente-de-oro.html,21.9
583,Puerto Lleras,Meta,Colombia,50577,http://www.puertolleras-meta.gov.co,+5786524207,503001,Héctor Diosa Segura,10582,2061.0,250,3.267,-73.367,https://www.municipio.com.co/municipio-puerto-lleras.html,5.1
584,Restrepo,Meta,Colombia,50606,http://restrepo-meta.gov.co,+5786550101,501037,Marlen Mojica,10112,289.0,488,4.26211,-73.5649,https://www.municipio.com.co/municipio-restrepo-met.html,35.0
585,Lejanías,Meta,Colombia,50400,http://lejanias-meta.gov.co,+5786591007,506067,Rene Bernardo Galindo Guerrero,9091,852.0,702,3.527,-74.023,https://www.municipio.com.co/municipio-lejanias.html,10.7
586,Tesalia,Huila,Colombia,41797,http://www.tesalia-huila.gov.co,+5788377022,415007,Fernando Antonio Perez Trujillo,8845,369.0,822,2.483,-75.733,https://www.municipio.com.co/municipio-tesalia.html,24.0
587,Guamal,Meta,Colombia,50318,http://www.guamal-meta.gov.co,+5786755009,507057,Éver Mosquera Rodríguez,8933,638.0,518,3.883,-73.767,https://www.municipio.com.co/municipio-guamal-met.html,14.0
588,Yaguará,Huila,Colombia,41885,http://www.yaguara-huila.gov.co,+5788383035,412087,Rafael Ramirez Gonzalez ,7855,349.0,572,2.667,-75.517,https://www.municipio.com.co/municipio-yaguara.html,22.5
589,Íquira,Huila,Colombia,41357,http://www.iquira-huila.gov.co,+5788394552,412068,Alberto Yustres Barrera,9947,516.0,1077,2.65,-75.633,https://www.municipio.com.co/municipio-iquira.html,19.3
590,Saladoblanco,Huila,Colombia,41660,http://www.saladoblanco-huila.gov.co,+5788323014,418020,Luis Antonio Bambague,10262,290.0,1483,1.99134,-76.0458,https://www.municipio.com.co/municipio-saladoblanco.html,35.4
591,Puerto Rico,Meta,Colombia,50590,http://puertorico-meta.gov.co,+5786596102,503068,José Manuel Guerrero Aguirre,7205,3772.0,191,2.933,-73.2,https://www.municipio.com.co/municipio-puerto-rico-met.html,1.9
592,Paicol,Huila,Colombia,41518,http://www.paicol-huila.gov.co,+5788378031,415040,Anibal Chavarro Chantre,7078,340.0,848,2.45,-75.767,https://www.municipio.com.co/municipio-paicol.html,20.8
593,La Uribe,Meta,Colombia,50370000,http://uribe-meta.gov.co,+5786624494,N/A,José Erinzon Ruiz Manrique,8180,6307.0,685,3.23992,-74.3555,https://www.municipio.com.co/municipio-la-uribe.html,1.3
594,Castilla La Nueva,Meta,Colombia,50150,http://www.castillalanueva-meta.gov.co,+5786750075,507041,Fernando Amezquita,7258,503.0,404,3.833,-73.683,https://www.municipio.com.co/municipio-castilla-la-nueva.html,14.4
595,Cabuyaro,Meta,Colombia,50124,http://www.cabuyaro-meta.gov.co,+5786769305,501011,Luis Alfonso Medina Martínez,3660,832.0,151,4.283,-72.783,https://www.municipio.com.co/municipio-cabuyaro.html,4.4
596,Colombia,Huila,Colombia,41206,http://www.colombia-huila.gov.co,+5788319697,411080,Adelia Guzman Garcia ,8648,1538.0,783,3.37548,-74.8008,https://www.municipio.com.co/municipio-colombia.html,5.6
597,Puerto Concordia,Meta,Colombia,50450,http://puertoconcordia-meta.gov.co,+5785840685,503047,Luis Roberto Gonzalez Sanchez,8451,1298.0,200,2.62284,-72.7607,https://www.municipio.com.co/municipio-puerto-concordia.html,6.5
598,Palestina,Huila,Colombia,41530,http://www.palestina-huila.gov.co,+5788315614,417067,Carlos Eliecer Motta Pardo,10268,220.0,1534,1.72236,-76.1318,https://www.municipio.com.co/municipio-palestina-hui.html,46.7
599,Teruel,Huila,Colombia,41801,http://www.teruel-huila.gov.co,+5788780004,412040,Yelitza Fierro Laguna,8198,589.0,910,2.75,-75.567,https://www.municipio.com.co/municipio-teruel.html,13.9
600,La Macarena,Meta,Colombia,50350,http://www.lamacarena-meta.gov.co,+5785603210,505027,Eliécer Vargas Moreno,4313,11231.0,219,2.18352,-73.784,https://www.municipio.com.co/municipio-la-macarena.html,0.4
601,Mesetas,Meta,Colombia,50330,http://mesetas-meta.gov.co,+5786598012,505001,Róbinson Rodrigo Mora Mahecha,4677,1980.0,532,3.38474,-74.0451,https://www.municipio.com.co/municipio-mesetas.html,2.4
602,San Juan de Arama,Meta,Colombia,50683,http://sanjuandearama-meta.gov.co,+5786576085,504041,Luis Eduardo Mosquera Aragon,7020,1163.0,431,3.37223,-73.876,https://www.municipio.com.co/municipio-san-juan-de-arama.html,6.0
603,La Argentina,Huila,Colombia,41378,http://www.laargentina-huila.gov.co,+5788311609,415088,Dagoberto Gaitán Guerrero,11674,390.0,1510,2.2,-75.983,https://www.municipio.com.co/municipio-la-argentina.html,29.9
604,El Dorado,Meta,Colombia,50270,http://www.eldorado-meta.gov.co,+5786488673,506021,Luis Hugo Arcila,3168,117.0,562,3.733,-73.833,https://www.municipio.com.co/municipio-el-dorado.html,27.1
605,Villavieja,Huila,Colombia,41872,http://www.villavieja-huila.gov.co,+5788797744,411020,Yordan Aris Pacheco Toncon,7314,578.0,373,3.217,-75.217,https://www.municipio.com.co/municipio-villavieja.html,12.7
606,Santa María,Huila,Colombia,41676,http://www.santamaria-huila.gov.co,+5788787043,412027,Julio Cesar Peralta Ardila,10191,378.0,1345,2.93736,-75.5868,https://www.municipio.com.co/municipio-santa-maria-hui.html,27.0
607,Cubarral,Meta,Colombia,50223,http://cubarral-meta.gov.co,+5786763123,506008,Ingriht Xisley Acosta Carvajal,5174,1159.0,581,3.79369,-73.8402,https://www.municipio.com.co/municipio-cubarral.html,4.5
608,El Castillo,Meta,Colombia,50251,http://elcastillo-meta.gov.co,+5786540036,506041,WILMAR ROA MALAGON,5571,573.0,342,3.56345,-73.7957,https://www.municipio.com.co/municipio-el-castillo.html,9.7
609,San Carlos de Guaroa,Meta,Colombia,50680,http://sancarlosdeguaroa-meta.gov.co,+5786557016,507011,Carlos Alberto Pineda Ruiz,6909,814.0,236,3.717,-73.25,https://www.municipio.com.co/municipio-san-carlos-de-guaroa.html,8.5
610,Hobo,Huila,Colombia,41349,http://www.hobo-huila.gov.co,+5788384006,413060,Carlos Alberto Tovar Bautista,6521,217.0,596,2.583,-75.45,https://www.municipio.com.co/municipio-hobo.html,30.1
611,Oporapa,Huila,Colombia,41503,http://www.oporapa-huila.gov.co,+5788790640,418008,Yamid Sterling Sanchez,10139,150.0,1376,2.02484,-75.9925,https://www.municipio.com.co/municipio-oporapa.html,67.6
612,Barranca de Upía,Meta,Colombia,50110,http://barrancadeupia-meta.gov.co,+5786241960,501007,Isabel Betancourt Álvarez,3232,668.0,229,4.56988,-72.9662,https://www.municipio.com.co/municipio-barranca-de-upia.html,4.8
613,Pital,Huila,Colombia,41548,http://www.elpital-huila.gov.co,+5788327066,414067,Emilio Leiva Leal,12811,210.0,918,2.26706,-75.8047,https://www.municipio.com.co/municipio-pital.html,61.0
614,Nátaga,Huila,Colombia,41483,http://www.nataga-huila.gov.co,+5788311120,415020,Edna Magaly Álvarez Serrato,5807,156.0,1480,2.54362,-75.8076,https://www.municipio.com.co/municipio-nataga.html,37.2
615,Agrado,Huila,Colombia,41013,http://www.elagrado-huila.gov.co,+5788322006,414047,Waldina Losada Vega ,8459,286.0,838,2.25745,-75.7721,https://www.municipio.com.co/municipio-agrado.html,29.6
616,El Calvario,Meta,Colombia,50245,http://www.elcalvario-meta.gov.co,+5786630899,501047,Jairo Morales,2256,286.0,1614,4.36331,-73.7208,https://www.municipio.com.co/municipio-el-calvario.html,7.9
617,Mapiripán,Meta,Colombia,50325,http://www.mapiripan-meta.gov.co,+5785840850,503028,Maribel Mahecha Hernández,866,11938.0,174,2.883,-72.15,https://www.municipio.com.co/municipio-mapiripan.html,0.1
618,San Juanito,Meta,Colombia,50686,http://sanjuanito-meta.gov.co,+573134040868,501051,CESAR AUGUSTO AYA ROZO,1879,162.0,1947,4.45796,-73.6766,https://www.municipio.com.co/municipio-san-juanito.html,11.6
619,Santa Marta,Magdalena,Colombia,47001,http://www.santamarta-magdalena.gov.co,+5754382777,470006,Carlos Eduardo Caicedo Omar,414387,2369.0,18,11.233,-74.2,https://www.municipio.com.co/municipio-santa-marta.html,174.9
620,Fundación,Magdalena,Colombia,47288,http://www.fundacion-magdalena.gov.co,+5754141982,472020,Mallath Martinez Cantillo,56107,922.0,45,10.5205,-74.1873,https://www.municipio.com.co/municipio-fundacion.html,60.9
621,Zona Bananera,Magdalena,Colombia,47980,http://www.zonabananera-magdalena.gov.co,+5756333157,478028,Patricia Avendaño,56404,446.0,31,10.6523,-74.1668,https://www.municipio.com.co/municipio-zona-bananera.html,126.5
622,Pivijay,Magdalena,Colombia,47551,http://www.pivijay-magdalena.gov.co,+5754259156,477057,ROBERTO PEREZ VARELA,35379,1636.0,3,10.467,-74.617,https://www.municipio.com.co/municipio-pivijay.html,21.6
623,Ciénaga,Magdalena,Colombia,47189,http://www.cienaga-magdalena.gov.co,+5754240281,478002,Luis Alberto Tete Samper,100908,1366.0,3,11.0069,-74.2499,https://www.municipio.com.co/municipio-cienaga.html,73.9
624,El Banco,Magdalena,Colombia,47245,http://www.elbanco-magdalena.gov.co,+5754292283,473040,Alberto José Puerta Rosado,53544,816.0,25,9,-73.967,https://www.municipio.com.co/municipio-el-banco.html,65.6
625,Plato,Magdalena,Colombia,47555,http://www.plato-magdalena.gov.co,+5754850507,475037,Jairo Molina De Arco,48898,1501.0,8,9.783,-74.783,https://www.municipio.com.co/municipio-plato.html,32.6
626,San Zenón,Magdalena,Colombia,47703,http://www.sanzenon-magdalena.gov.co,+5756855190,474060,Roberto Carlos López Echávez,8749,238.0,25,9.24314,-74.4993,https://www.municipio.com.co/municipio-san-zenon.html,36.8
627,Zapayán,Magdalena,Colombia,47960,http://www.zapayan-magdalena.gov.co,+5753577825,476050,Manuel Guillermo De La Cruz Pacheco,8464,353.0,7,10.167,-74.717,https://www.municipio.com.co/municipio-zapayan.html,24.0
628,Salamina,Magdalena,Colombia,47675,http://www.salamina-magdalena.gov.co,+5758781835,477040,José Rafael Scoppeta Orozco,8239,175.0,6,10.4909,-74.7919,https://www.municipio.com.co/municipio-salamina-mag.html,47.1
629,Pedraza,Magdalena,Colombia,47541,http://www.pedraza-magdalena.gov.co,+5754251597,476048,Gustavo Aquileo Osorio Osorio,7865,312.0,12,10.183,-74.917,https://www.municipio.com.co/municipio-pedraza.html,25.2
630,Valle del Guamuez,Putumayo,Colombia,86865,http://www.valledelguamuez-putumayo.gov.co,+5784282006,862027,Jhon Wilmer Rosero Hernández,51934,873.0,304,0.417,-76.9,https://www.municipio.com.co/municipio-valle-del-guamez.html,59.5
631,Puerto Asís,Putumayo,Colombia,86568,http://puertoasis-putumayo.gov.co,+5784227424,862067,Jorge Eliecer Coral Rivas,45745,2610.0,239,0.5,-76.483,https://www.municipio.com.co/municipio-puerto-asis.html,17.5
632,San Miguel,Putumayo,Colombia,86757,http://www.sanmiguel-putumayo.gov.co,+5784293037,862040,"Carlos Julio Rosas Guancha ""Don Chura""",15245,361.0,303,0.342977,-76.9126,https://www.municipio.com.co/municipio-san-miguel-put.html,42.2
633,Orito,Putumayo,Colombia,86320,http://orito-putumayo.gov.co,+5784292132,862007,Manuel Eduardo Ocoro Carabali,39519,2026.0,363,0.665859,-76.8709,https://www.municipio.com.co/municipio-orito.html,19.5
634,Remolino,Magdalena,Colombia,47605,http://www.remolino-magdalena.gov.co,+5757493684,477027,Virgilio Antonio Torres Cuello,7840,611.0,7,10.7,-74.717,https://www.municipio.com.co/municipio-remolino.html,12.8
635,Mocoa,Putumayo,Colombia,86001,http://mocoa-putumayo.gov.co,+5784295974,860008,Caros Hugo Piedrahita,36185,1030.0,590,1.14748,-76.6473,https://www.municipio.com.co/municipio-mocoa.html,35.1
636,Villagarzón,Putumayo,Colombia,86885,http://villagarzon-putumayo.gov.co,+5784284018,861080,JOSE ANDRES LOPEZ MUÑOZ,15085,1250.0,423,1.033,-76.617,https://www.municipio.com.co/municipio-villa-garzon.html,12.1
637,Puerto Caicedo,Putumayo,Colombia,86569,http://www.puertocaicedo-putumayo.gov.co,+5784294549,862087,Luz Dary García Córdoba,10581,846.0,262,0.632216,-76.5809,https://www.municipio.com.co/municipio-puerto-caicedo.html,12.5
638,Sibundoy,Putumayo,Colombia,86749,http://sibundoy-putumayo.gov.co,+5784260251,861020,Jhon Jairo Andrade,14104,64.0,2104,1.2,-76.917,https://www.municipio.com.co/municipio-sibundoy.html,220.4
639,Puerto Leguizamo,Putumayo,Colombia,86573000,http://puertoleguizamo-putumayo.gov.co,+5785634001,N/A,Edinson Guzmán Filo,9938,10483.0,182,-0.193977,-74.7795,https://www.municipio.com.co/municipio-puerto-leguizamo.html,0.9
640,Guamal,Magdalena,Colombia,47318,http://www.guamal-magdalena.gov.co,+5754182072,473028,Elkin Mendez Posteraro,25058,565.0,25,9.15,-74.233,https://www.municipio.com.co/municipio-guamal-mag.html,44.4
641,El Retén,Magdalena,Colombia,47268,http://www.elreten-magdalena.gov.co,+5754141784,478060,Jorge eliecer Serrano Cassalins,18417,268.0,17,10.6125,-74.2697,https://www.municipio.com.co/municipio-el-reten.html,68.7
642,Santa Bárbara de Pinto,Magdalena,Colombia,47720,http://www.santabarbaradepinto-magdalena.gov.co,+5756878632,474001,Nixon Cudriz Delgado,10919,502.0,22,9.43391,-74.7034,https://www.municipio.com.co/municipio-santa-barbara-de-pinto.html,21.8
643,Nueva Granada,Magdalena,Colombia,47460,http://www.nuevagranada-magdalena.gov.co,+5754246588,475028,Joaquín Alfonso Cortina Sulvaran,16006,843.0,101,9.8,-74.4,https://www.municipio.com.co/municipio-nueva-granada.html,19.0
644,Santa Ana,Magdalena,Colombia,47707,http://www.santaana-magdalena.gov.co,+5756837076,474027,José Luis López Fonseca,22840,1120.0,25,9.317,-74.567,https://www.municipio.com.co/municipio-santa-ana.html,20.4
645,Aracataca,Magdalena,Colombia,47053,http://www.aracataca-magdalena.gov.co,+5754271048,472001,Pedro Javier Sanchez Rueda,34929,1755.0,21,10.6,-74.2,https://www.municipio.com.co/municipio-aracataca.html,19.9
646,Puerto Guzmán,Putumayo,Colombia,86571,http://www.puertoguzman-putumayo.gov.co,+5784295070,863001,Gerardo Antonio Chacon Valderrama,5114,4340.0,268,0.96246,-76.4073,https://www.municipio.com.co/municipio-puerto-guzman.html,1.2
647,Ocaña,Norte de Santander,Colombia,54498,http://www.ocana-nortedesantander.gov.co,+5775610088,546558,Samir Fernando Casadiego Sanjuán,90037,463.0,1183,8.233,-73.35,https://www.municipio.com.co/municipio-ocana.html,194.5
648,San Sebastián de Buenavista,Magdalena,Colombia,47692,http://www.sansebastiandebuenavista-magdalena.gov.co,+5755252841,473008,Luis Carlos Bruges Santos,16924,421.0,25,9.23835,-74.3517,https://www.municipio.com.co/municipio-san-sebastian-de-buenavista.html,40.2
649,Chibolo,Magdalena,Colombia,47170,http://www.chibolo-magdalena.gov.co,+5754854213,476060,Tirzo Manuel Armella Sierra,16018,528.0,126,10.0253,-74.6206,https://www.municipio.com.co/municipio-chibolo.html,30.3
650,Pijiño del Carmen,Magdalena,Colombia,47545,http://www.pijinodelcarmen-magdalena.gov.co,+5756856370,474047,N/A,13850,739.0,25,9.34372,-74.425,https://www.municipio.com.co/municipio-pijino-del-carmen.html,18.7
651,San Francisco,Putumayo,Colombia,86755,http://sanfrancisco-putumayo.gov.co,+5784271124,861008,Jorge Enrique Martínez Ordoñez,5270,480.0,2154,1.167,-76.883,https://www.municipio.com.co/municipio-san-francisco-put.html,11.0
652,Villa del Rosario,Norte de Santander,Colombia,54874,http://www.villadelrosario-nortedesantander.gov.co,+5775701220,541038,Carlos Socha,112798,93.0,397,7.833,-72.467,https://www.municipio.com.co/municipio-villa-del-rosario.html,1212.9
653,Santiago,Putumayo,Colombia,86760,http://santiago-putumayo.gov.co,+5784242657,861068,Flanklin Benavides Revero,5830,445.0,2073,1.15,-77,https://www.municipio.com.co/municipio-santiago-put.html,13.1
654,Sitionuevo,Magdalena,Colombia,47745,http://www.sitionuevo-magdalena.gov.co,+5754146013,477007,Omar Alfonso Diaz Gutierrez,26777,967.0,5,10.783,-74.717,https://www.municipio.com.co/municipio-sitionuevo.html,27.7
655,Colón,Putumayo,Colombia,86219,http://www.colon-putumayo.gov.co,+5784261759,861047,Omar Augusto Gomez Salcedo,4198,77.0,2069,1.183,-76.967,https://www.municipio.com.co/municipio-colon-put.html,54.5
656,Cerro de San Antonio,Magdalena,Colombia,47161000,http://www.cerrodesanantonio-magdalena.gov.co,+5758781808,N/A,Dolmedes Enrique Ortiz Pacheco,9225,184.0,11,10.333,-74.867,https://www.municipio.com.co/municipio-cerro-de-san-antonio.html,50.1
